question,c3_mean_minus_c0_mean,c3_std_minus_c0_std,c3_range_minus_c0_range,category_primary
Are cucumbers often found in desert?,0.013392043745383608,-0.02817025261647224,-0.18705334487986192,c0_correct
Are deaf people left out of enjoying music?,0.11588595715570882,-0.16038021665053753,-0.5758148308751009,c0_correct
Are eagles and young bears both used as labels for skills-training youth groups?,0.1307388884156786,-0.14018903464973054,-0.20434271833815287,c0_wrong_to_correct
Are emus related to elks?,0.016322057730338346,0.028738532797843455,0.22653915407435044,c0_correct
Are fresh garlic cloves as easy to eat as roasted garlic cloves?,-0.037864563397075446,0.055554121215891816,0.3552340444086326,c0_correct
Are goats found on abyssal plains?,-0.15939433856739404,0.1686460159107434,0.5874090476141749,c0_correct
Are gorillas closely related to humans?,-0.007201486113414424,0.05288802209470006,0.29062694122287513,c0_correct
Are ground bell peppers the main ingredient of black pepper?,0.05354512034502579,0.005788496957422645,0.01417889517917903,c0_correct
Are hippos dangerous to humans?,-0.04513826709354041,0.07055416649265694,0.016655133451466186,c0_correct
Are honey badgers and hyenas anatomically dissimilar? ,0.07974431643837421,-0.0626431343511134,-0.11151406628114757,c0_correct
Are human footprints absent from Mount Sharp?,0.043968980330915675,-0.014286580646515418,0.13726650440300814,c0_wrong_to_correct
Are implants from an ORIF surgery affected by the magnetic field of the Earth?,0.08547714290754527,-0.1154329553234907,-0.2111262032722505,c0_correct
Are kayaks used at the summit of Mount Everest?,0.034447376545314934,-0.06488198371318057,-0.08593549002459044,c0_wrong_to_wrong
Are leaves from coca good for gaining weight?,0.026337741404936166,-0.04801840291826276,-0.17024304748680175,c0_correct
Are lengths measured in metres in the UK?,0.07072805760979595,-0.1742513764997838,-0.599455471884618,c0_correct
Are looks the easiest way to tell rosemary from lavender? ,0.013775198381160147,-0.02360211913638363,-0.21210231634724885,c0_correct
Are monks forbidden from engaging in warfare?,0.131453971887612,-0.10103374095783985,-0.02577650723816638,c0_wrong_to_correct
Are months based on the solar cycle?,0.11035468884604538,-0.1499094985831148,-0.3343727509365846,c0_wrong_to_correct
Are moose used for work near the kingdom of Arendelle?,-0.005671336968436136,0.03805094025979555,0.15294107578172944,c0_wrong_to_wrong
Are more people today related to Genghis Khan than Julius Caesar?,0.037309405360296144,-0.03170890965763004,0.05300725761271863,c0_correct
Are multiple Christmas Carol's named after Saints?,0.10118593833151623,-0.17484650700242274,-0.4784398386065989,c0_correct
Are pancakes a bad snack for cats?,0.030109587264561477,0.022320882306811674,0.23744725430448788,c0_wrong_to_correct
Are pancakes typically prepared in a pot?,0.031111478531772874,-0.03770586500531678,0.10799582403895402,c0_correct
Are paratroopers good at mountain rescue?,-0.02834514471537708,0.0851993404534648,0.24556345003285096,c0_correct
Are peaches best eaten when firm?,0.010092386995682712,0.004080021841949187,2.725229970634846e-05,c0_correct
Are pennies commonly used in Canada?,0.14344067030186936,-0.22936046403656063,-0.6887730236401884,c0_correct
Are people more likely than normal to get sunburn at Burning Man?,-0.016306583071740488,0.03888228428965554,0.21965099536161137,c0_correct
Are pirate lieutenants like navy lieutenants?,0.02413398910546749,-0.0038258515097008006,0.19243251149917273,c0_wrong_to_wrong
Are psychiatric patients welcome to join the United States Air Force?,0.06334440497561611,-0.07317735995117983,-0.10987411106947398,c0_correct
Are quadrupeds represented on Chinese calendar?,0.03714201721236132,-0.0398976319859152,-0.0622754315059213,c0_correct
Are queen bees unnecessary for growing apples?,-0.02293273016759534,0.04529427742420379,0.21227977393387476,c0_wrong_to_wrong
Are rainbows devoid of color made by mixing yin and yang colors?,0.11439391271362698,-0.17832250542559713,-0.4645508934215131,c0_wrong_to_wrong
Are raw carrots better for maximizing vitamin A intake?,-0.03953993498154795,0.009381286227627877,0.04828969845503572,c0_correct
Are red legs a sign of failing health in those with Anorexia Nervosa?,0.0985430918640644,-0.11392384656811302,-0.2708577026924319,c0_wrong_to_correct
Are right wing Amreicans opposed to marxism?,0.05951268888940975,-0.07876220161165488,-0.21077187622866211,c0_correct
Are ropes required to operate a frigate?,0.09165699616315115,-0.12509119892117937,-0.4263140702845113,c0_wrong_to_correct
Are sables related to wolverines?,0.006505620961922087,-0.03277509209784048,-0.2378002200477879,c0_wrong_to_correct
Are saltwater crocodiles related to alligators?,-0.16076335092953464,0.19834549688568054,0.5847760829395313,c0_wrong_to_wrong
Are sea turtles enjoying life during quarantine?,-0.13937514676970042,0.08494413251351043,0.30493992606329057,c0_wrong_to_wrong
Are seasons of Survivor surpassed by number of Ancient Greek letters?,-0.018814636737434776,0.055100995194832435,0.17861354583466482,c0_correct
Are selfies more dangerous than plague in modern times?,0.030040153845890205,0.04177632665359521,0.0646702154071005,c0_wrong_to_correct
Are sesame seeds glued onto hamburger buns?,0.138646164724185,-0.15617884090216075,-0.3309460381701729,c0_correct
Are slime lilies in a different scientific family than asparagus?,0.018846595312041137,-0.06908527023276487,-0.2981870809738999,c0_wrong_to_correct
Are some Brazilian Navy ships built in Britian?,0.09126858141374561,-0.07362935357660778,-0.1150141137956382,c0_correct
Are some Do It Yourself projects potentially lethal?,0.006803200093779771,0.028006850658898574,0.1654431747616676,c0_correct
Are some adherents to Christianity in China historic enemies of Catholic Church?,0.01933285958521702,0.04104437612051967,0.14397622892466555,c0_correct
Are some chiropractic manipulations dangerous?,0.013067456578950143,-0.001328228972302864,-0.059536757015863584,c0_correct
Are some types of pancakes named after coins?,0.22041622217600287,-0.26163471868900995,-0.6458073489201588,c0_correct
Are swastikas used in the most common religion in India?,0.08313992148755056,-0.1669850927358212,-0.5787114765537811,c0_wrong_to_correct
Are tampons a good 24 hour solution for mentruation?,0.03696184617067522,-0.017184707724745923,0.1433553604748815,c0_correct
Are the Great Lakes part of an international border?,0.06547867124233198,-0.1439402287574178,-0.5053587903613707,c0_correct
Are the brooms from curling good for using on house floors?,-0.01778448863215143,-0.01709335908502041,-0.1461688094644843,c0_correct
Are the colors on Marlboro package found on French flag?,0.006085852567038863,0.02913876450278896,0.13120101012098528,c0_correct
Are the headquarters of All Nippon Airways near a beach?,0.11996440850823076,-0.08801258491971037,-0.11432551722548112,c0_correct
Are the knights in the Medieval Times show not authentic knights?,-0.010356727610567718,0.0018037567518822406,0.22804313428733292,c0_correct
Are the majority of Reddit users familiar with the Pledge of Allegiance?,0.10560987867886418,-0.09716778594919148,0.039120027204984975,c0_wrong_to_wrong
Are the names of The Powerpuff Girls alliterative? ,0.042535218797787655,-0.09391426223713104,-0.3882557082089494,c0_correct
Are there Pink music videos that are triggering for eating disorder patients?,0.11559178960535443,-0.06706484779684951,-0.15217715439206603,c0_correct
Are there any chives hypothetically good for battling vampires?,0.07952365249202253,-0.1320129060822376,-0.368640477427465,c0_wrong_to_correct
Are there any official American knights?,0.08322008924711144,-0.03286445744431976,-0.18324296473632518,c0_correct
Are there enough Jonny Cash records in the world to give one to each French citizen?,0.008549452287371917,-0.01580084416855676,-0.014415751503451202,c0_wrong_to_correct
Are there enough people in the Balkans to match the population of Japan?,-0.03101363212736208,0.03346474771950672,-0.03917845786582885,c0_correct
Are there multiple American government holidays during winter?,-0.0440078647940938,0.022749133917234432,-0.1365247479717291,c0_correct
Are there multiple Disney Zorro?,0.0730703303377892,-0.06267333933100627,0.015485086477769472,c0_wrong_to_correct
Are there multiple Star Wars TV shows produced by Disney?,0.04372797083353397,-0.019936232782460345,0.175415238799713,c0_correct
Are there people who are men who experience menstruation?,-0.0035080413595337534,0.02776658909068344,0.172162397332551,c0_wrong_to_wrong
Are there some countries where waiting staff need no tip?,0.036546270659612023,-0.04491725927574722,-0.22753054760686664,c0_correct
Are there special traffic laws associated with funerals?,0.009001554002842194,-0.0705887752848931,-0.06936753376180471,c0_correct
Are there tearjerkers about United Airlines flights?,-0.018073318469145394,-0.026324930958132098,-0.05683530202872045,c0_wrong_to_wrong
Are there winged statuettes in the home of the creator of Law & Order?,0.07046348989695539,-0.05128752773889142,-0.01785891998751532,c0_wrong_to_correct
Are those incapable of reproduction incapable of parenthood?,0.02624092133450484,-0.00875151604439442,0.051752677034054395,c0_correct
Are twinkies considered artisan made products?,0.02324762385878454,-0.055324095050447414,-0.1695015544796591,c0_correct
Are twins always born during the same year?,-0.009728025999095613,0.014113895627178269,-0.049415654086459315,c0_correct
Are two cans of Campbell's Soup a day good for hypertension?,0.004546378518871297,-0.028527480676148964,-0.08213416036305721,c0_correct
Are vinegar pickled cucumbers rich in lactobacillus?,0.034978696558967015,-0.04199108682054355,-0.05148083654357616,c0_correct
Are you likely to find a crucifix in Karachi?,0.017043408034863594,0.016495750913303853,0.08581022457768583,c0_correct
Are you likely to hear Rammstein playing in smooth jazz clubs?,0.00891091146505485,-0.013787384057856178,-0.027915071016389792,c0_correct
"At a presentation about post traumatic stress disorder, would Ariana Grande be a topic of relevance?",0.035298440279418974,0.0007035502840554153,0.24447077637702208,c0_wrong_to_correct
Can 1980 United States presidential election result be considered a photo finish?,-0.031175734350225803,0.025878039264336655,0.06419838651632204,c0_correct
Can Aerosmith fit in a 2020 Mitsubishi Outlander?,-0.007124069356800766,0.004146033327168341,-0.01997977493583769,c0_wrong_to_correct
Can Aerosmith legally drive in the carpool lane?,-0.026460939688097596,-0.032652907775540085,-0.08434730635629317,c0_wrong_to_correct
Can Africanized bees be considered multicultural?,0.09660066338102025,-0.13292534321479405,-0.27011223749801905,c0_wrong_to_correct
Can Arnold Schwarzenegger deadlift an adult Black rhinoceros?,0.004875574455657672,0.016413995393731867,0.15416464406119834,c0_correct
Can Billie Eilish afford a Porsche?,0.08916672665191361,-0.16815008570723367,-0.5372049531626141,c0_correct
Can Curiosity (rover) kill a cat?,-0.12942639738395412,0.14132016199623817,0.19412932579424225,c0_wrong_to_wrong
Can Cyril Ramaphosa become Secretary General of NATO?,0.08033628410856641,-0.11697839486870851,-0.3427256280305806,c0_correct
Can DRL Racer X drone get across Brooklyn Bridge in 18 seconds?,0.0422717905253035,-0.0361323275093163,-0.08865969608793023,c0_correct
Can Darth Vader hypothetically outdunk Bill Walton without using The Force?,0.09728119592948925,-0.04788909248573875,0.008569437707430683,c0_correct
Can Family of Barack Obama ride comfortably in 2020 Jaguar F Type?,0.07004477196899483,-0.17289843345160777,-0.7087528085983934,c0_correct
Can Harry Potter book a flight on Asiana Airlines?,0.10575139482677076,-0.18398990979000063,-0.6647103947733117,c0_wrong_to_correct
Can Hulk's alter ego explain atomic events?,0.10613965781505241,-0.17981479352217333,-0.528113748234998,c0_wrong_to_correct
Can I find my home with latitude and longitude?,0.07940989646605368,-0.08497847787741053,-0.27139146602775555,c0_correct
Can I hold Bing in a basket?,0.024332510484703418,-0.0549242120531207,-0.12093398168955016,c0_correct
"Can I ski in Steamboat Springs, Colorado in August?",-0.05768462902642146,0.08590040574697538,0.2519541433444439,c0_correct
Can Jabberwocky be considered a sonnet?,-0.03153936207683883,0.04018783969042544,0.016685236141258608,c0_correct
Can Josh Blue participate in Paralympics Games? ,0.0761249030053367,-0.120193890573667,-0.4726885305955826,c0_correct
Can Justin Timberlake ride Shipwreck Falls at Six Flags?,0.09776846659722715,-0.08272647721208279,-0.11521759275141008,c0_wrong_to_correct
Can Kate Gosselin's household fill out a Bandy team?,-0.05219661660409569,0.09483140150241537,0.3150593752627401,c0_correct
Can Kit & Kaboodle hypothetically help someone past the Underworld gates?,0.062034926580437966,-0.09786515203823215,-0.20078334039207346,c0_correct
Can Larry King's ex-wives form a water polo team?,0.03894104930296116,-0.015749467527303496,0.09213165761602726,c0_wrong_to_wrong
Can Michael Jordan become a professional cook in America? ,0.10204949789587103,-0.10220104756785228,-0.20874236884382402,c0_correct
Can Paprika be made without a dehydrator?,0.053363607024989435,-0.06149934402960293,-0.17086540782799253,c0_correct
Can Reiki be stored in a bottle?,0.07166554971864114,-0.08250166079867444,-0.2012933843846163,c0_correct
Can Spartina Patens thrive in the Sahara Desert?,0.005242817696655244,0.05509655121807805,0.35532607702836083,c0_correct
Can Viper Room concert hypothetically be held at National Diet building?,-0.1273777647725829,0.15497209379686458,0.45449069559202104,c0_wrong_to_correct
Can a Goblin shark hypothetically ride a bike if it had limbs?,0.0018195044830664475,0.012990132493081286,0.07800414147311652,c0_correct
Can a Muslim eat a McRib sandwich?,0.05388451141494044,-0.09863886260785869,-0.3193309646042721,c0_correct
Can a New Yorker get their eyes checked by Rand Paul legally?,0.07238006756745596,-0.06025014530830956,-0.10298943480044731,c0_wrong_to_correct
Can a Reconstruction era coin buy DJI Mavic Pro Drone?,0.10087967819571608,-0.06807971906782237,0.02778253789866758,c0_wrong_to_wrong
Can a banana get a virus?,-0.0033592457594737724,0.034071041048940875,0.17292271984865126,c0_correct
Can a blind person tell time by Big Ben?,0.03560790064910191,-0.08721563547691655,-0.3521162918825651,c0_correct
Can a cell fit inside of a shoebox?,0.01964129332135678,-0.0370528343964813,-0.09604050938335518,c0_correct
Can a cheetah generate enough force to topple Big Show?,0.008863518491122435,0.004654351509692928,0.07590187424984585,c0_wrong_to_correct
Can a chess board be converted to a Shogi board?,0.01018793563149245,0.007869923281400848,0.08766511300079527,c0_correct
Can a copy of The Daily Mirror sustain a campfire?,0.10715041631072653,-0.12608815857477132,-0.2175175383273611,c0_wrong_to_correct
Can a diamond float on water?,0.08890792387003288,-0.14941748724155152,-0.49968804599889016,c0_correct
Can a firewall protect against a short circuit?,-0.0028034034653303674,0.008620596908392841,0.09301715945039746,c0_correct
Can a goat be used for one of the ingredients in French toast?,-0.1507322429847071,0.043920679261284484,0.1114377693585763,c0_wrong_to_wrong
Can a greyhound walk on two legs?,0.10851233304019514,-0.17836225491937693,-0.552835984920031,c0_correct
Can a honey bee sting a human more than once?,0.006464374969710751,-0.007278848124760429,-0.02451297861438151,c0_correct
Can a jet plane be made without society?,0.05684142476557397,0.023676833276745274,0.1851889240070832,c0_correct
Can a minor replicate the double-slit experiment?,0.04150086654391694,-0.030933467993214392,-0.02105717577421229,c0_correct
Can a minotaur hypothetically injure a tibia playing football?,-0.019183131672631526,0.07979013796558249,0.38433502995703817,c0_correct
Can a person be diagnosed with a Great Depression?,0.09467151269514984,-0.15593708796888536,-0.5280159673253723,c0_correct
Can a quarter fit inside of a human kidney?,-0.054755626070505214,0.040865015195429455,0.17796522743466392,c0_wrong_to_correct
Can a sesame seed grow in the human body?,0.011432611790416658,-0.012883669506742745,-0.09985223253393283,c0_correct
Can a single honey bee sting multiple humans?,-0.023504000419275584,-0.002861085384759071,-0.03741405013540855,c0_correct
Can a sniper shoot a fish past Bathypelagic Zone in ocean?,0.03296376293311076,-0.03919684315510444,-0.1314508987830958,c0_correct
Can a snow leopard eat twice its own body weight?,0.13412047589985832,-0.1291117218080548,-0.2672886033499915,c0_wrong_to_correct
Can a snow leopard swim?,0.0696056569051896,-0.09375677798833594,-0.12932732857502194,c0_correct
Can a software engineer work during a power outage?,0.09692808560448574,-0.09922399352169237,-0.296194399713563,c0_correct
Can a ten-pin bowling pin be a deadly weapon?,0.0668375370138683,-0.005864152076962864,0.07433459734946257,c0_correct
Can a traffic collision make someone a millionaire?,0.11893050582136411,-0.15278803237349342,-0.38348395054185225,c0_wrong_to_correct
Can a woman on average have a baby before wheat seed blooms?,0.04048978285293692,-0.03632688005020154,-0.05242262510592599,c0_correct
Can actress Danica McKellar skip astronaut education requirements?,0.10420219679762288,-0.09021738188081888,-0.06778862775509253,c0_wrong_to_correct
Can amoebas get cancer?,0.13032543615563819,-0.14802794741730152,-0.11780255413652185,c0_correct
Can an African Elephant get pregnant twice in a year?,0.07727373755018796,-0.0359870269134088,0.012242483375964452,c0_correct
Can an Asian black bear use chopsticks?,-0.04406652281388557,0.14806405289064212,0.6085985719106766,c0_correct
Can an elite runner circle the Pyrenees in one day?,0.06664127382711038,-0.030117541739464265,0.15921230042949963,c0_correct
Can any person with a driver's license work in transport of aviation fuel?,0.04021252457616031,-0.06883682037473193,-0.1004419097680993,c0_correct
Can binary numbers and standard alphabet satisfy criteria for a strong password?,0.08028089784807724,-0.07608985468721036,-0.13751221023113458,c0_correct
Can black swan's formation type help spell longest word in Dictionary?,0.07416781218831714,-0.05156020861767174,0.011979860182204538,c0_wrong_to_wrong
Can bottlenose dolphins hypothetically outbreed human women?,-0.05966573488553051,0.08547346825053434,0.2215580186366446,c0_correct
Can crane slamdunk?,0.004766271144020728,0.04205875498631684,0.05646179948093466,c0_correct
Can depression be mistaken for laziness?,0.021150386569912638,-0.013832846024901035,-0.05924924518079222,c0_correct
Can first letter row of QWERTY keyboard spell a palindrome?,0.004540062223049035,-0.02754950355935004,0.04349376649830072,c0_wrong_to_correct
Can furniture be made of hair?,0.005426657560264503,0.03869677618537726,0.119225041072061,c0_wrong_to_correct
Can ham make a cut seal up quicker?,0.024213764508898672,-0.06454937340726755,-0.1833322628335754,c0_wrong_to_correct
Can methane be seen by the naked eye?,0.042576117546162084,-0.09123387700324896,-0.33328928565057614,c0_correct
Can monkeys use QWERTY keyboards?,0.050258860495835056,-0.11002678170733693,-0.5069170131774922,c0_wrong_to_correct
Can native wolverines be found in Miami?,0.10529003451383867,-0.21717182082306757,-0.7147396623731546,c0_correct
Can nitric acid break the Louvre?,0.13702628429502473,-0.13342113135741834,-0.14842637293121086,c0_wrong_to_correct
Can numerologists become members of Royal Society?,0.09400291205629241,-0.07150914050068752,-0.1268973695011092,c0_correct
Can oysters be preserved without refrigeration? ,0.15473541090602205,-0.21458681348504383,-0.47723728500783325,c0_wrong_to_correct
Can paratroopers be used in a vacuum?,0.019501933043915565,0.010441683400199492,0.1517845277913331,c0_correct
Can photography be considered abstract art?,0.046596303396140626,-0.03344192686724365,-0.049912699089866175,c0_wrong_to_correct
Can professional boxers expect to have low dental bills?,0.07101268455260024,-0.07553610482522966,-0.12453761843554378,c0_correct
Can rowing competitions take place indoors?,0.14905339180465427,-0.16613167476759555,-0.22059859111253066,c0_correct
Can second row of QWERTY keyboard spell Abdastartus's kingdom?,0.08503144439804022,-0.1395587330636205,-0.3795356835621806,c0_wrong_to_correct
Can someone in Uberlandia work for Mitsubishi?,0.07164568611161304,-0.13023543657416403,-0.41254384461750626,c0_correct
Can someone sell their time through the Toronto Star?,0.12454528892488625,-0.19247236811882532,-0.6637124249186179,c0_wrong_to_correct
Can someone with dermatitis be a hand model?,0.0281637719358101,-0.017938415466787067,0.012187758569415563,c0_correct
Can spiders help eggplant farmers control parasites?,0.004732849844199305,0.020167378450695744,0.23089366952292212,c0_correct
Can surgery prevent an existential crisis?,0.08432601003124252,-0.10873481599685109,-0.1958331850579167,c0_correct
Can telescopes hear noise?,0.060404438027184204,-0.12782847148252238,-0.4905311479988502,c0_correct
Can the Dalai Lama fit in a car?,0.052863174234588195,-0.06866377055660008,-0.21714499557772948,c0_correct
Can the Great Depression be treated with Prozac?,0.07340208423936834,-0.160527580543331,-0.6219694170777951,c0_correct
Can the Palace of Westminster tell time in the dark?,0.10785819472484404,-0.11454850680735605,-0.2208435638959959,c0_correct
Can the Toyota Hilux tip the scales against Mr. Ed?,-0.003557516300967678,0.05357277608123254,0.27646475039630736,c0_wrong_to_correct
Can the United Nations Framework Convention on Climate Change be held at the Javits Center?,-0.014479247082465951,0.08243792234092993,0.485822430698324,c0_correct
Can the Very Large Telescope observe the largest mountain on Earth?,0.16950051992881787,-0.1267791289374897,-0.3106592009588226,c0_correct
Can the largest crustacean stretch out completely on a king-sized mattress?,0.09953794205333777,-0.16190988833222442,-0.5035378207798232,c0_correct
Can the majority of vowels be typed on the first line of a QWERTY keyboard?,0.07720087443775825,-0.13124631337820566,-0.34849647952897966,c0_wrong_to_correct
Can the original name of the zucchini be typed on the top row of a QWERTY keyboard?,0.053589956549032425,-0.07888824441997684,-0.08561893256475539,c0_correct
Can too many oranges cause diarrhea?,0.01784159708145039,0.01753537431815544,0.04767540640741219,c0_correct
Can whole genome sequencing be used for COVID-19?,-0.01847972874456172,0.0678767023972187,0.37985938355348003,c0_wrong_to_wrong
Can you avoid internet trolls on reddit?,0.07780902676207135,-0.0668770753136253,-0.16594022693183708,c0_correct
Can you buy Casio products at Petco?,0.023892669778585507,0.0236884509825096,0.25219330653927796,c0_correct
Can you buy a fair trade laptop?,0.06593502882925739,-0.11374423857020174,-0.3878339536589457,c0_correct
Can you buy chlorine at a dollar store?,0.09736122804369984,-0.12160021538704793,-0.2217731749907237,c0_wrong_to_correct
Can you buy furniture and meatballs in the same store?,0.00454765512301003,0.008464973785015178,0.034402939797661625,c0_correct
Can you conduct surveillance from a teddy bear?,0.08674308689068011,-0.12732695233639924,-0.4855902114678783,c0_wrong_to_correct
Can you drown in a Swan Lake performance?,0.07568182937558232,-0.09306225325254536,-0.13848563326859353,c0_correct
Can you find Bob Marley's face in most smoke shops?,0.05742077243146548,-0.1279319112448401,-0.45100040361412086,c0_correct
Can you find Depala's race in World of Warcraft?,0.07259140611945625,-0.13304908477474142,-0.5092915959552169,c0_correct
Can you find a railroad engineer on TNT?,0.11619827602891253,-0.12460911924090223,-0.0834606732552865,c0_wrong_to_wrong
Can you find a snow leopard in the Yucatan?,0.00444802284214596,0.011683984423322288,0.054150001175455986,c0_correct
Can you give at least one word from the Torah to all residents of Bunkie Louisiana?,0.10756154765071058,-0.039477580257822525,0.13672914397759428,c0_wrong_to_correct
Can you hide a basketball in a sand cat's ear?,-0.0013183660923373752,-0.017292649226763074,-0.023214675292449027,c0_correct
Can you hide a pet macaque under your desk?,0.09358722840823874,-0.07820065832225614,-0.07860699015182404,c0_wrong_to_correct
Can you house a giant squid at Soldier Field?,-0.18490400949483043,0.19940923888477696,0.45812281360824436,c0_wrong_to_correct
Can you only see hippopotamus in Africa?,0.008186080124210182,0.005061208561349784,0.1340099803233613,c0_correct
Can you purchase General Motors products at a movie theater?,0.0028582634941426432,0.01851998745193606,0.12358602617124681,c0_correct
Can you purchase a dish with injera at Taco Bell?,0.018544099333264508,-0.03630152823276349,-0.13768836566074216,c0_correct
Can you put bitcoin in your pocket?,0.06321288843802275,-0.04515771914486881,0.021062921123917056,c0_wrong_to_correct
Can you see Stonehenge from a window in Dusseldorf?,-0.005634292435208188,0.0011825874220850463,-0.020589296522699696,c0_correct
Can you see live harbor seals in Washington DC?,-0.045745662343329996,-0.022350755350194568,-0.143235980172838,c0_wrong_to_wrong
Can you see the Statue of Freedom from the Statue of Liberty?,0.05840367345719333,-0.0314995360019239,0.020049296346236423,c0_correct
Can you see the moon in Wembley Arena?,-0.028151322227970677,0.09685746382020155,0.390039849993592,c0_correct
Can you substitute the pins in a bowling alley lane with Dustin Hoffman's Oscars?,0.007127652258206996,-0.07153989096609761,-0.3382266285266896,c0_correct
Can you transport a coin along a sea of mercury?,0.12294716503562364,-0.2387387294135969,-0.6668026535891171,c0_correct
Can you transport a primate in a backpack?,0.029124356188939382,-0.021004297409698308,-0.024304454497147687,c0_wrong_to_correct
Can you use the T-Mobile tuesdays app if you aren't a T-Mobile customer?,-0.01758263723534792,0.024936330096536535,-0.03111752031455406,c0_correct
Can you watch Rick and Morty in Mariana Trench?,0.05889959162038505,-0.11244749333337328,-0.14265024973951212,c0_correct
Can you write a whole Haiku in a single tweet?,0.07262908554437064,-0.10068849375149588,-0.21134900799517264,c0_correct
Can your psychologist say hello to you while you are out at the supermarket?,0.14380672424690755,-0.21138304904871413,-0.6113469677618002,c0_correct
Could ABBA play a mixed doubles tennis game against each other?,0.05178435581479457,-0.09761939770468792,-0.4223723848363181,c0_wrong_to_correct
Could B be mistaken for an Arabic numeral?,-0.01804008297593085,0.0554203180280716,0.22778354089906339,c0_correct
Could Barron Trump have lived through the Mexican Revolution?,0.014772046695548324,-0.025491138481377643,-0.11375763305331243,c0_wrong_to_wrong
Could Bart Simpson have owned comics with The Joker?,0.15446591398625154,-0.1507744602019369,-0.3861475252593307,c0_correct
Could Buzz Aldrin have owned a computer?,-0.10676249910167768,0.12367833999240131,0.30030159147301105,c0_correct
Could Carl Friedrich Gauss speak to someone 100 miles away?,-0.050851104336448794,0.03420995356532122,0.0041755773578462385,c0_correct
Could Casio's first invention be worn around the ankle?,0.019373695399305557,-0.02853918452979967,-0.11495759189417987,c0_correct
